nohup: ignoring input
nohup: ignoring input
(300, 1971, 2)
(300, 1971, 2)
(590100, 5, 2)
Step: 9800, Loss: 18385.390625, Current Best Loss: inf, Computation time: 20.408276319503784
Step: 9900, Loss: 18830.166015625, Current Best Loss: inf, Computation time: 20.383641958236694
Step: 9999, Loss: 18463.6796875, Current Best Loss: inf, Computation time: 20.07885217666626
Training finished. Returning best model with loss: inf
(531600, 200, 2)
Step: 0, Loss: 379086.59375, Current Best Loss: inf, Computation time: 15.586877584457397
Step: 100, Loss: 364580.4375, Current Best Loss: inf, Computation time: 138.53135085105896
Step: 200, Loss: 333067.125, Current Best Loss: inf, Computation time: 130.39926385879517
Step: 300, Loss: 269207.09375, Current Best Loss: inf, Computation time: 130.51380467414856
Step: 400, Loss: 229454.625, Current Best Loss: inf, Computation time: 133.0433487892151
Step: 500, Loss: 197859.828125, Current Best Loss: inf, Computation time: 142.6719787120819
Step: 600, Loss: 184009.984375, Current Best Loss: inf, Computation time: 164.58213663101196
Step: 700, Loss: 174618.6875, Current Best Loss: inf, Computation time: 161.89260005950928
Step: 800, Loss: 163246.84375, Current Best Loss: inf, Computation time: 170.37877583503723
Step: 900, Loss: 160489.921875, Current Best Loss: inf, Computation time: 175.50868320465088
Step: 1000, Loss: 159279.109375, Current Best Loss: inf, Computation time: 180.35793662071228
Step: 1100, Loss: 152432.984375, Current Best Loss: inf, Computation time: 181.91697001457214
Step: 1200, Loss: 154667.484375, Current Best Loss: inf, Computation time: 186.27154564857483
Step: 1300, Loss: 150725.671875, Current Best Loss: inf, Computation time: 189.54417896270752
Step: 1400, Loss: 147729.34375, Current Best Loss: inf, Computation time: 191.02340245246887
Step: 1500, Loss: 148397.8125, Current Best Loss: inf, Computation time: 193.1732575893402
Step: 1600, Loss: 147279.578125, Current Best Loss: inf, Computation time: 194.23725652694702
Step: 1700, Loss: 146635.046875, Current Best Loss: inf, Computation time: 196.76011323928833
Step: 1800, Loss: 147405.90625, Current Best Loss: inf, Computation time: 199.5205385684967
Step: 1900, Loss: 144006.203125, Current Best Loss: inf, Computation time: 201.58416390419006
Step: 2000, Loss: 140731.40625, Current Best Loss: inf, Computation time: 202.14762377738953
Step: 2100, Loss: 136749.25, Current Best Loss: inf, Computation time: 205.0387659072876
Step: 2200, Loss: 137720.0625, Current Best Loss: inf, Computation time: 208.3004367351532
Step: 2300, Loss: 133877.546875, Current Best Loss: inf, Computation time: 210.0746729373932
Step: 2400, Loss: 134584.015625, Current Best Loss: inf, Computation time: 212.9383249282837
Step: 2500, Loss: 135324.921875, Current Best Loss: inf, Computation time: 214.46265149116516
Step: 2600, Loss: 124448.9140625, Current Best Loss: inf, Computation time: 216.1970512866974
Step: 2700, Loss: 133465.828125, Current Best Loss: inf, Computation time: 219.07399153709412
Step: 2800, Loss: 127415.5859375, Current Best Loss: inf, Computation time: 220.64207649230957
Step: 2900, Loss: 125938.125, Current Best Loss: inf, Computation time: 222.46957516670227
Step: 3000, Loss: 122434.2109375, Current Best Loss: inf, Computation time: 227.0972249507904
Step: 3100, Loss: 120593.6328125, Current Best Loss: inf, Computation time: 233.11114645004272
Step: 3200, Loss: 121150.9296875, Current Best Loss: inf, Computation time: 236.04797530174255
Step: 3300, Loss: 114928.9375, Current Best Loss: inf, Computation time: 241.85036063194275
Step: 3400, Loss: 114653.984375, Current Best Loss: inf, Computation time: 246.84918427467346
Step: 3500, Loss: 115776.8125, Current Best Loss: inf, Computation time: 247.38734793663025
Step: 3600, Loss: 110196.203125, Current Best Loss: inf, Computation time: 253.15741086006165
Step: 3700, Loss: 113999.84375, Current Best Loss: inf, Computation time: 255.7651972770691
Step: 3800, Loss: 110306.1328125, Current Best Loss: inf, Computation time: 257.59365463256836
Step: 3900, Loss: 107481.328125, Current Best Loss: inf, Computation time: 261.5762174129486
Step: 4000, Loss: 102545.2578125, Current Best Loss: inf, Computation time: 263.9619126319885
Step: 4100, Loss: 98208.5390625, Current Best Loss: inf, Computation time: 265.59373450279236
Step: 4200, Loss: 98792.65625, Current Best Loss: inf, Computation time: 265.22635865211487
Step: 4300, Loss: 100595.234375, Current Best Loss: inf, Computation time: 269.16969418525696
Step: 4400, Loss: 93284.109375, Current Best Loss: inf, Computation time: 272.4530737400055
